
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             dev-server:0           LISTENING
  TCP    0.0.0.0:135            dev-server:0           LISTENING
  TCP    0.0.0.0:445            dev-server:0           LISTENING
  TCP    0.0.0.0:1521           dev-server:0           LISTENING
  TCP    0.0.0.0:2179           dev-server:0           LISTENING
  TCP    0.0.0.0:2869           dev-server:0           LISTENING
  TCP    0.0.0.0:3389           dev-server:0           LISTENING
  TCP    0.0.0.0:5040           dev-server:0           LISTENING
  TCP    0.0.0.0:5357           dev-server:0           LISTENING
  TCP    0.0.0.0:5432           dev-server:0           LISTENING
  TCP    0.0.0.0:5434           dev-server:0           LISTENING
  TCP    0.0.0.0:5435           dev-server:0           LISTENING
  TCP    0.0.0.0:5443           dev-server:0           LISTENING
  TCP    0.0.0.0:7680           dev-server:0           LISTENING
  TCP    0.0.0.0:7899           dev-server:0           LISTENING
  TCP    0.0.0.0:17500          dev-server:0           LISTENING
  TCP    0.0.0.0:23443          dev-server:0           LISTENING
  TCP    0.0.0.0:27036          dev-server:0           LISTENING
  TCP    0.0.0.0:41000          dev-server:0           LISTENING
  TCP    0.0.0.0:47984          dev-server:0           LISTENING
  TCP    0.0.0.0:47989          dev-server:0           LISTENING
  TCP    0.0.0.0:49664          dev-server:0           LISTENING
  TCP    0.0.0.0:49665          dev-server:0           LISTENING
  TCP    0.0.0.0:49666          dev-server:0           LISTENING
  TCP    0.0.0.0:49667          dev-server:0           LISTENING
  TCP    0.0.0.0:49668          dev-server:0           LISTENING
  TCP    0.0.0.0:59993          dev-server:0           LISTENING
  TCP    0.0.0.0:63256          dev-server:0           LISTENING
  TCP    0.0.0.0:63267          dev-server:0           LISTENING
  TCP    30.20.30.101:139       dev-server:0           LISTENING
  TCP    30.20.30.101:445       M2021DEVBOX:53628      ESTABLISHED
  TCP    30.20.30.101:3389      185.202.1.73:37289     ESTABLISHED
  TCP    30.20.30.101:5434      M2021DEVBOX:58883      ESTABLISHED
  TCP    30.20.30.101:5434      M2021DEVBOX:58884      ESTABLISHED
  TCP    30.20.30.101:5434      WIN2016TEMPLATE:58430  ESTABLISHED
  TCP    30.20.30.101:5434      WIN2016TEMPLATE:58431  ESTABLISHED
  TCP    30.20.30.101:49197     muc03s08-in-f42:https  ESTABLISHED
  TCP    30.20.30.101:49360     a104-81-110-122:https  ESTABLISHED
  TCP    30.20.30.101:49525     199.232.192.134:https  ESTABLISHED
  TCP    30.20.30.101:49548     ec2-3-68-61-181:https  ESTABLISHED
  TCP    30.20.30.101:49969     waw02s16-in-f3:https   TIME_WAIT
  TCP    30.20.30.101:50598     waw02s16-in-f3:https   ESTABLISHED
  TCP    30.20.30.101:50601     40.101.12.82:https     ESTABLISHED
  TCP    30.20.30.101:50655     ec2-3-68-63-139:https  ESTABLISHED
  TCP    30.20.30.101:51237     40.101.121.18:https    ESTABLISHED
  TCP    30.20.30.101:51241     40.101.82.66:https     ESTABLISHED
  TCP    30.20.30.101:51580     104.26.6.139:https     ESTABLISHED
  TCP    30.20.30.101:51758     17.248.172.132:https   CLOSE_WAIT
  TCP    30.20.30.101:51770     162.125.19.9:https     ESTABLISHED
  TCP    30.20.30.101:51801     waw07s03-in-f10:https  CLOSE_WAIT
  TCP    30.20.30.101:52099     ec2-52-7-78-177:9000   ESTABLISHED
  TCP    30.20.30.101:52249     17.248.173.45:https    CLOSE_WAIT
  TCP    30.20.30.101:52251     17.248.173.47:https    CLOSE_WAIT
  TCP    30.20.30.101:52252     17.248.173.47:https    CLOSE_WAIT
  TCP    30.20.30.101:52254     17.248.172.141:https   CLOSE_WAIT
  TCP    30.20.30.101:52258     17.248.173.45:https    CLOSE_WAIT
  TCP    30.20.30.101:52343     waw02s13-in-f8:https   ESTABLISHED
  TCP    30.20.30.101:52496     199.232.192.134:https  ESTABLISHED
